symbol,price,price_change,price_percent_change
WTF,18.55,14.55,363.75
NMAX,261.83,178.32,213.54
ICCT,4.5,2.26,100.89
GATE,36.05,16.44,83.83
QSG,6.44,2.42,60.2
NUTX,70.52,23.49,49.95
CRWV,51.87,14.79,39.89
SONM,2.96,0.82,38.32
LXEH,25.52,6.15,31.75
CSAI,5.75,1.31,29.5
LSE,5.76,1.28,28.57
NXU,3.38,0.71,26.6
PVH,76.65,12.01,18.58
HSAI,17.53,2.73,18.45
ALMS,7.2,1.06,17.35
EHLD,5.57,0.79,16.53
LICN,4.44,0.59,15.32
OZ,74.0,9.5,14.73
HUT,13.25,1.63,14.03
ELVA,2.63,0.32,13.85
ALTS,4.42,0.54,13.79
CLSK,7.59,0.87,13.01
APLM,7.0,0.8,12.9
PRGS,57.92,6.42,12.45
PN,3.9,0.43,12.39
USAR,6.63,0.69,11.62
OCG,3.22,0.34,11.59
ZYXI,2.45,0.25,11.36
CLPT,13.2,1.31,11.02
CORZ,8.03,0.79,10.94
JVA,3.93,0.38,10.7
AARD,8.3,0.8,10.59
VTSI,4.5,0.43,10.57
RUN,6.48,0.61,10.49
LGPS,3.26,0.3,10.14
ENGS,4.95,0.45,10.01
AIRJ,5.07,0.46,9.98
UPB,6.72,0.6,9.74
BTMD,3.65,0.32,9.49
CRVO,10.0,0.85,9.29
IREN,6.66,0.56,9.28
TRVG,4.48,0.38,9.27
NOTV,2.41,0.2,9.05
BE,21.36,1.71,8.67
SURG,2.25,0.18,8.67
XGN,3.9,0.31,8.64
APLD,6.1,0.48,8.54
PRTH,7.38,0.57,8.36
RUM,7.66,0.58,8.27
SNBR,6.86,0.52,8.23
BLUE,5.28,0.4,8.2
KNOP,7.55,0.57,8.17
XELB,3.05,0.23,8.16
MNDY,262.84,19.68,8.09
CIFR,2.48,0.18,8.04
LUD,3.9,0.29,8.04
QVCGB,7.17,0.53,7.98
RCAT,6.34,0.47,7.91
FWRG,17.96,1.31,7.9
LFVN,15.71,1.13,7.75
NUKK,12.8,0.92,7.7
BZAI,2.17,0.15,7.67
Holdings,66.18,4.69,7.63
MDCX,4.0,0.28,7.53
BLMN,7.71,0.54,7.52
MNTK,2.24,0.15,7.42
AEHR,7.82,0.54,7.34
MXL,11.66,0.8,7.32
APP,283.9,18.93,7.15
NBIS,22.61,1.5,7.11
BLND,3.58,0.23,6.87
BNGO,2.98,0.19,6.81
DSP,13.26,0.84,6.81
RIOT,7.6,0.48,6.74
China,16.04,1.0,6.65
MSTR,307.23,18.95,6.58
NPCE,13.09,0.8,6.51
RIVN,13.26,0.81,6.51
BBW,39.51,2.33,6.28
ACDC,8.06,0.47,6.26
BKKT,9.21,0.54,6.23
BTBT,2.14,0.13,6.19
OS,22.66,1.32,6.19
CBRL,41.17,2.35,6.05
WHLR,3.35,0.19,6.0
YRD,7.29,0.41,5.96
EOSE,4.0,0.23,5.95
EWCZ,4.18,0.23,5.82
MPTI,47.12,2.58,5.78
PLUT,2.75,0.15,5.77
MWYN,4.41,0.24,5.76
KGEI,8.87,0.48,5.72
WULF,2.88,0.15,5.68
DAKT,12.87,0.69,5.67
GNE,15.9,0.85,5.65
HIMS,31.19,1.64,5.55
IONQ,23.29,1.22,5.53
DUOL,327.62,17.07,5.5
CTRI,17.29,0.9,5.49
EZPW,15.52,0.81,5.47
