Unnamed: 0,Volume,Last,Chg,% Chg
Newsmax Inc. Cl B (NMAX),4.3M,62.14,52.14,521.42
Corcept Therapeutics Inc. (CORT),8.9M,103.24,48.6,88.97
MicroAlgo Inc. (MLGO),30.6M,24.83,7.48,43.11
Regencell Bioscience Holdings Ltd. (RGC),232.1K,34.5,8.83,34.4
bluebird bio Inc. (BLUE),2.9M,5.2,1.12,27.33
BK Technologies Corp. (BKTI),76.5K,42.93,6.93,19.25
Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),72.6K,7.63,1.23,19.22
HomeStreet Inc. (HMST),1.6M,11.08,1.78,19.14
FTC Solar Inc. (FTCI),677.9K,2.95,0.45,18.0
QuantaSing Group Ltd. ADR (QSG),16.1M,4.0,0.58,16.96
Lixiang Education Holding Co. Ltd. ADR (LXEH),64.5K,20.3,2.65,15.01
LogProstyle Inc. (LGPS),108.6K,3.04,0.39,14.53
Mr. Cooper Group Inc. (COOP),3.6M,119.46,14.97,14.32
Southern States Bancshares Inc. (SSBK),113.5K,36.01,3.52,10.83
United Microelectronics Corp. ADR (UMC),36.6M,7.26,0.7,10.76
Wellgistics Health Inc. (WGRX),69.3K,4.23,0.41,10.73
Wolfspeed Inc. (WOLF),32.4M,2.86,0.27,10.42
Cryoport Inc. (CYRX),551.7K,6.72,0.63,10.33
Gorilla Technology Group Inc. (GRRR),2.3M,27.55,2.51,10.02
Beyond Inc. (BYON),2.2M,5.83,0.52,9.79
Nexxen International Ltd. (NEXN),171.8K,8.34,0.72,9.45
Star Holdings (STHO),259.4K,8.7,0.68,8.48
The9 Ltd. ADR (NCTY),125.4K,15.14,1.18,8.45
Celsius Holdings Inc. (CELH),9.0M,36.2,2.55,7.58
B&G Foods Inc. (BGS),2.1M,6.93,0.49,7.55
Basel Medical Group Ltd. (BMGL),77.0K,4.87,0.31,6.9
RumbleON Inc. Cl B (RMBL),86.0K,2.99,0.18,6.41
VivoPower International PLC (VVPR),2.4M,4.17,0.25,6.38
Zhengye Biotechnology Holding Ltd. (ZYBT),114.0K,5.42,0.32,6.27
Intellicheck Inc. (IDN),198.3K,3.06,0.18,6.25
Discover Financial Services (DFS),2.3M,168.49,9.76,6.15
Epsium Enterprise Ltd. (EPSM),147.5K,5.57,0.32,6.07
Caledonia Mining Corp. PLC (CMCL),95.9K,12.3,0.69,5.99
Jinxin Technology Holding Co. ADR (NAMI),458.7K,3.08,0.16,5.6
Oriental Culture Holding Ltd. (OCG),299.8K,2.74,0.14,5.54
DatChat Inc. (DATS),530.3K,3.64,0.19,5.51
First Foundation Inc. (FFWM),903.5K,5.22,0.27,5.44
Apollomics Inc. (APLM),472.3K,8.01,0.4,5.3
Marwynn Holdings Inc. (MWYN),276.1K,4.3,0.21,5.13
Goodyear Tire & Rubber Co. (GT),2.7M,9.24,0.45,5.06
XPeng Inc. ADR (XPEV),6.8M,20.69,0.99,5.03
Beta Bionics Inc. (BBNX),244.7K,12.27,0.56,4.78
Tiptree Inc. (TIPT),151.4K,24.37,1.1,4.73
National CineMedia Inc. (NCMI),363.8K,5.88,0.27,4.72
HF Foods Group Inc. (HFFG),131.4K,4.58,0.2,4.69
